address,best,bin,building_id,building_name,distance_m,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,second,x_m,y_m
154 East 79th Street,0.817,1043255,24415,,2.8,Upper East Side,82.7,5,tag,0,40.7746523,block,-73.9587151,0.0,yes,266899926,4,way,10075,14.2,0.81,782.67,-591.32
155 East 78th Street,0.824,1043242,24416,,4.1,Upper East Side,62.2,5,tag,0,40.7742638,block,-73.9588807,0.0,yes,266899927,,way,10075,12.7,0.78,768.7,-634.27
233 East 78th Street,0.989,1044168,24435,,0.9,Upper East Side,66.6,4,tag,0,40.7732636,block,-73.9565458,0.0,yes,266899948,,way,10075,10.3,0.954,965.52,-744.87
,0.822,1044186,24453,,3.0,Upper East Side,97.3,5,tag,0,40.7732745,block,-73.9564813,0.0,yes,266899966,,way,,12.8,0.815,970.95,-743.67
,0.783,1044175,24457,,11.2,Upper East Side,246.9,5,tag,0,40.7730492,block,-73.9558709,0.0,yes,266899970,,way,,11.2,0.76,1022.41,-768.58
214 East 78th Street,0.988,1044126,24474,,0.9,Upper East Side,70.2,4,tag,0,40.7731694,block,-73.9572213,0.0,yes,266900468,,way,10075,12.4,0.941,908.58,-755.28
216 East 78th Street,0.988,1044132,24478,,0.9,Upper East Side,68.2,4,tag,0,40.7731508,block,-73.957177,0.0,yes,266900472,,way,10075,12.3,0.937,912.32,-757.34
248 East 78th Street,0.896,1044118,24506,,1.2,Upper East Side,84.9,4,tag,0,40.7728592,block,-73.9564698,0.0,yes,266900501,,way,10075,12.7,0.853,971.93,-789.59
262 East 78th Street,0.989,1044131,24514,,0.9,Upper East Side,77.0,4,tag,0,40.77271,block,-73.9561164,0.0,yes,266900510,,way,10075,12.9,0.934,1001.72,-806.08
415 East 78th Street,0.898,1046020,24566,,2.5,Turtle Bay / Sutton,139.7,4,tag,0,40.7713941,block,-73.9521097,0.0,yes,266900665,,way,10075,14.4,0.895,1339.45,-951.58
1482 1st Avenue,0.745,1045978,24591,,8.2,Turtle Bay / Sutton,157.6,8,tag,0,40.7710779,block,-73.9532615,0.0,yes,266900756,,way,10075,14.3,0.705,1242.37,-986.56
