address,bbl,bbl_source,bin,building_id,building_name,district,footprint_area,footprint_verts,height_source,is_context,lat,lod_tier,lon,match_area_ratio,match_confidence,match_distance_m,min_height,osm_building_type,osm_id,osm_levels,osm_type,postcode,roof_height,x_m,y_m
,,,,3679,,Financial District,168.6,7,levels,0,40.7024047,block,-74.0110762,,none,,0.0,roof,1189000414,1,way,,4.4,-3631.07,-8580.02
,,,,3693,,Financial District,288.4,4,tag,0,40.7126019,block,-74.0016352,,none,,0.0,yes,1228926947,1,way,,4.0,-2835.25,-7452.48
,,,,3694,,Financial District,234.4,4,tag,0,40.7127047,block,-74.00131,,none,,0.0,service,1228926962,,way,,6.0,-2807.83,-7441.1
,,,,3695,,Financial District,48.6,4,levels,0,40.7117524,block,-74.0022185,,none,,0.0,yes,1228926985,1,way,,4.4,-2884.42,-7546.41
,,,,3696,,Financial District,16.8,9,tag,0,40.7156275,block,-74.0035226,,none,,0.0,yes,1229121628,,way,,4.0,-2994.34,-7117.93
,,,,3703,,Financial District,30.7,4,zone_model,0,40.7146373,block,-74.0163019,,none,,0.0,roof,1232255323,,way,,8.21,-4071.56,-7227.41
,,,,3705,,Financial District,63.3,4,levels,0,40.7150285,block,-74.0158336,,none,,0.0,roof,1233049104,1,way,,4.4,-4032.09,-7184.16
,,,,3708,,Tribeca / Civic Center,15.7,4,tag,0,40.7161756,block,-74.0143202,,none,,0.0,roof,1233090426,,way,,3.0,-3904.52,-7057.32
,,,,3712,,Financial District,2663.2,18,levels,0,40.7150028,block,-74.0177761,,none,,0.0,roof,1234203921,3,way,,10.8,-4195.83,-7187.0
,,,,3713,,Tribeca / Civic Center,17.7,5,tag,0,40.7176833,block,-74.0132787,,none,,0.0,yes,1234505632,,way,,10.0,-3816.72,-6890.61
,,,,3714,,Tribeca / Civic Center,20.4,5,tag,0,40.7171941,block,-74.0125736,,none,,0.0,yes,1234696590,,way,,10.0,-3757.29,-6944.7
,,,,3732,,Financial District,235.9,30,tag,0,40.7088119,district,-73.9914881,,none,,0.0,yes,1255353996,,way,,102.0,-1979.91,-7871.55
,,,,3733,,Financial District,485.9,28,tag,0,40.7072687,district,-73.9983344,,none,,0.0,yes,1255363983,,way,,82.9,-2557.01,-8042.19
,,,,3734,,Financial District,1794.5,20,tag,0,40.7093076,block,-74.0009127,,none,,0.0,yes,1255363984,,way,,12.0,-2774.34,-7816.74
89 Murray Street,,,,3740,89 Murray,Financial District,117.1,4,zone_model,0,40.7151309,block,-74.0116471,,none,,0.0,residential,1339769176,,way,10007,12.05,-3679.19,-7172.83
,,,,3744,Moving Chains,Jersey,172.8,4,zone_model,0,40.6871467,block,-74.0252333,,none,,0.0,yes,1388038372,,way,,23.78,-4824.43,-10267.16
,,,,3748,,Brooklyn,63.1,4,zone_model,0,40.6880367,block,-74.0192337,,none,,0.0,greenhouse,1388526373,,way,,27.09,-4318.7,-10168.75
,,,,3749,,Brooklyn,32.5,4,zone_model,0,40.6879551,block,-74.0194123,,none,,0.0,yes,1388526374,,way,,12.62,-4333.75,-10177.78
,,,,3750,,Brooklyn,31.7,4,zone_model,0,40.6878227,block,-74.019328,,none,,0.0,yes,1388526375,,way,,42.81,-4326.65,-10192.41
